2022-12-25 04:16:13.397 [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 1.8.0_311 on DESKTOP-SVUDSJU with PID 3228 (E:\大学学习\主课程\大三上\数据库原理实验\final\springboot-2022-nocv\target\classes started by 20824 in E:\大学学习\主课程\大三上\数据库原理实验\final\springboot-2022-nocv)
2022-12-25 04:16:13.399 [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2022-12-25 04:16:17.175 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 4.255 seconds (JVM running for 5.64)
2022-12-25 04:25:45.800 [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 1.8.0_311 on DESKTOP-SVUDSJU with PID 22012 (E:\大学学习\主课程\大三上\数据库原理实验\final\springboot-2022-nocv\target\classes started by 20824 in E:\大学学习\主课程\大三上\数据库原理实验\final\springboot-2022-nocv)
2022-12-25 04:25:45.814 [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2022-12-25 04:25:49.585 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 4.241 seconds (JVM running for 5.598)
2022-12-25 04:35:01.910 [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 1.8.0_311 on DESKTOP-SVUDSJU with PID 29204 (E:\大学学习\主课程\大三上\数据库原理实验\final\springboot-2022-nocv\target\classes started by 20824 in E:\大学学习\主课程\大三上\数据库原理实验\final\springboot-2022-nocv)
2022-12-25 04:35:01.912 [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2022-12-25 04:35:05.921 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 4.538 seconds (JVM running for 5.946)
2022-12-25 04:36:48.812 [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 1.8.0_311 on DESKTOP-SVUDSJU with PID 23848 (E:\大学学习\主课程\大三上\数据库原理实验\final\springboot-2022-nocv\target\classes started by 20824 in E:\大学学习\主课程\大三上\数据库原理实验\final\springboot-2022-nocv)
2022-12-25 04:36:48.824 [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2022-12-25 04:36:52.618 [restartedMain] INFO  com.example.demo.DemoApplication - Started DemoApplication in 4.28 seconds (JVM running for 5.634)
